species,AphiaID,remove,new_AphiaID
Craterium leucocephalum,1501261,true,
Rhopalosiphum padi,990742,true,
Macrosteles quadrilineatus,1489180,true,
Elasmopus nkjaf,1364147,true,
Portunus sanguinolentus,1061758,true,
Cladosporium herbarum,100511,true,
Aspergillus versicolor,100498,true,
Bugula rochae,605623,true,
Dolichomastix tenuilepis,345463,true,
Botrylloides simodensis,250085,true,
Anas poecilorhyncha,1034710,true,
Ardea cinerea,212668,true,
Mirounga leonina,231413,true,
Neophocaena phocaenoides,254985,true,
Caranx ignobilis,218414,true,
Carassius auratus,154298,true,
Albula glossodonta,212255,false,212256
Hypanus rudis,1042863,false,1042856
Myrophis vafer,275496,false,158643
Sphyraena jello,212045,false,345843
Brevoortia tyrannus,158691,false,275500
Lutjanus argentimaculatus,218498,false,159797
Diplodus kotschyi,998229,false,273972
Gobiosoma ginsburgi,159771,false,276514
Epinephelus lanceolatus,218224,true,
Syngnathus schlegeli,275232,true,
Stephanolepis cirrhifer,275247,true,
Edwardsia longicornis,100889,true,
Callyspongia (Cladochalina) diffusa,190269,true,
Cladocroce burapha,166302,true,
Gelliodes wilsoni,820772,true,
Amorphinopsis fenestrata,165722,true,
Poecillastra_laminaris,170263,true,
