"phylum","class","order","family","genus","species","AphiaID","records","max_year","group","obis","gbif","redlist_category"
"Annelida","Clitellata","Arhynchobdellida","Erpobdellidae","Erpobdella","Erpobdella punctata",160007,1,2000,,TRUE,FALSE,
"Annelida","Clitellata","Tubificida","Naididae","Tubificoides","Tubificoides heterochaetus",137577,3,2003,,TRUE,FALSE,
"Annelida","Polychaeta","Amphinomida","Amphinomidae","Linopherus","Linopherus paucibranchiata",129835,3,1994,,TRUE,FALSE,
"Annelida","Polychaeta","Eunicida","Dorvilleidae","Pettiboneia","Pettiboneia duofurca",330507,5,2000,,TRUE,TRUE,
"Annelida","Polychaeta","Eunicida","Dorvilleidae","Protodorvillea","Protodorvillea kefersteini",130041,1,2000,,TRUE,TRUE,
"Annelida","Polychaeta","Eunicida","Dorvilleidae","Schistomeringos","Schistomeringos pectinata",331696,29,2004,,TRUE,TRUE,
"Annelida","Polychaeta","Eunicida","Dorvilleidae","Schistomeringos","Schistomeringos rudolphi",154127,5,2003,,TRUE,TRUE,
"Annelida","Polychaeta","Eunicida","Dorvilleidae","Westheideia","Westheideia minutimala",332856,1,1996,,TRUE,TRUE,
"Annelida","Polychaeta","Eunicida","Eunicidae","Eunice","Eunice longisetis",336640,1,1971,,TRUE,FALSE,
"Annelida","Polychaeta","Eunicida","Eunicidae","Eunice","Eunice tenuis",333345,2,1994,,TRUE,FALSE,
"Annelida","Polychaeta","Eunicida","Eunicidae","Lysidice","Lysidice hebes",742228,16,2004,,TRUE,TRUE,
"Annelida","Polychaeta","Eunicida","Eunicidae","Lysidice","Lysidice ninetta",130071,62,1994,,TRUE,TRUE,
"Annelida","Polychaeta","Eunicida","Eunicidae","Lysidice","Lysidice notata",328985,6,2000,,TRUE,TRUE,
"Annelida","Polychaeta","Eunicida","Eunicidae","Marphysa","Marphysa sanguinea",130075,3,2004,,TRUE,FALSE,
"Annelida","Polychaeta","Eunicida","Lumbrineridae","Lumbrineris","Lumbrineris coccinea",130242,2,1996,,TRUE,FALSE,
"Annelida","Polychaeta","Eunicida","Lumbrineridae","Lumbrineris","Lumbrineris ernesti",157472,12,2004,,TRUE,TRUE,
"Annelida","Polychaeta","Eunicida","Lumbrineridae","Lumbrineris","Lumbrineris inflata",130246,1,1994,,TRUE,FALSE,
"Annelida","Polychaeta","Eunicida","Lumbrineridae","Lumbrineris","Lumbrineris latreilli",130248,1,2003,,TRUE,TRUE,
"Annelida","Polychaeta","Eunicida","Lumbrineridae","Scoletoma","Scoletoma laurentiana",1491000,1,2000,,TRUE,TRUE,
"Annelida","Polychaeta","Eunicida","Lumbrineridae","Scoletoma","Scoletoma tenuis",382375,13,2001,,TRUE,TRUE,
"Annelida","Polychaeta","Eunicida","Lumbrineridae","Scoletoma","Scoletoma verrilli",421066,35,2004,,TRUE,TRUE,
"Annelida","Polychaeta","Eunicida","Oenonidae","Arabella","Arabella iricolor",129854,3,2002,,TRUE,FALSE,
"Annelida","Polychaeta","Eunicida","Oenonidae","Arabella","Arabella mutans",157203,2,1997,,TRUE,TRUE,
"Annelida","Polychaeta","Eunicida","Oenonidae","Drilonereis","Drilonereis longa",157357,2,2001,,TRUE,FALSE,
"Annelida","Polychaeta","Eunicida","Onuphidae","Americonuphis","Americonuphis magna",332921,1,1971,,TRUE,TRUE,
"Annelida","Polychaeta","Eunicida","Onuphidae","Diopatra","Diopatra cuprea",157339,4,2000,,TRUE,TRUE,
"Annelida","Polychaeta","Eunicida","Onuphidae","Kinbergonuphis","Kinbergonuphis simoni",333715,4,2000,,TRUE,TRUE,
"Annelida","Polychaeta","Eunicida","Onuphidae","Mooreonuphis","Mooreonuphis nebulosa",334037,1,2001,,TRUE,FALSE,
"Annelida","Polychaeta","Eunicida","Onuphidae","Mooreonuphis","Mooreonuphis pallidula",334038,6,2004,,TRUE,TRUE,
"Annelida","Polychaeta","Eunicida","Onuphidae","Onuphis","Onuphis eremita",335573,1,1996,,TRUE,FALSE,
"Annelida","Polychaeta","Phyllodocida","Chrysopetalidae","Bhawania","Bhawania heteroseta",421043,2,2000,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Eulepethidae","Grubeulepis","Grubeulepis mexicana",421039,1,1995,,TRUE,FALSE,
"Annelida","Polychaeta","Phyllodocida","Glyceridae","Glycera","Glycera americana",157388,4,2004,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Goniadidae","Glycinde","Glycinde multidens",155098,24,2000,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Goniadidae","Goniada","Goniada teres",157400,2,2000,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Goniadidae","Goniadides","Goniadides carolinae",157407,24,2004,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Hesionidae","Hesione","Hesione picta",328339,1,1996,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Hesionidae","Oxydromus","Oxydromus obscurus",710702,9,2003,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Hesionidae","Parahesione","Parahesione luteola",334355,1,2003,,TRUE,FALSE,
"Annelida","Polychaeta","Phyllodocida","Hesionidae","Podarkeopsis","Podarkeopsis levifuscina",330826,18,2004,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Nephtyidae","Aglaophamus","Aglaophamus verrilli",157147,4,1996,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Nephtyidae","Nephtys","Nephtys incisa",130362,7,2000,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Nephtyidae","Nephtys","Nephtys picta",157501,8,2000,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Nephtyidae","Nephtys","Nephtys simoni",329561,1,1995,,TRUE,FALSE,
"Annelida","Polychaeta","Phyllodocida","Nephtyidae","Nephtys","Nephtys squamosa",334156,2,2000,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Nereididae","Alitta","Alitta succinea",234850,1,2000,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Nereididae","Ceratocephale","Ceratocephale oculata",157292,7,2001,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Nereididae","Ceratonereis","Ceratonereis japonica",327395,2,2000,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Nereididae","Ceratonereis","Ceratonereis longicirrata",327396,5,2000,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Nereididae","Ceratonereis","Ceratonereis mirabilis",130372,11,2002,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Nereididae","Composetia","Composetia versipedata",1600935,17,1997,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Nereididae","Laeonereis","Laeonereis culveri",333727,8,2001,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Nereididae","Neanthes","Neanthes acuminata",157496,5,2004,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Nereididae","Neanthes","Neanthes micromma",421046,6,2000,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Nereididae","Nereis","Nereis goajirana",329654,7,2000,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Nereididae","Nereis","Nereis grayi",157503,10,1997,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Nereididae","Nereis","Nereis pelagica",130404,15,2004,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Nereididae","Nereis","Nereis riisei",1607102,3,1994,,TRUE,FALSE,
"Annelida","Polychaeta","Phyllodocida","Nereididae","Nereis","Nereis splendida",334198,16,2004,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Nereididae","Parasetia","Parasetia irritabilis",1600668,6,2003,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Nereididae","Platynereis","Platynereis dumerilii",130417,8,2004,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Nereididae","Stenoninereis","Stenoninereis martini",334857,1,2004,,TRUE,FALSE,
"Annelida","Polychaeta","Phyllodocida","Nereididae","Websterinereis","Websterinereis tridentata",155207,1,2000,,TRUE,FALSE,
"Annelida","Polychaeta","Phyllodocida","Phyllodocidae","Nereiphylla","Nereiphylla fragilis",157502,3,2004,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Phyllodocidae","Phyllodoce","Phyllodoce arenae",157530,1,2000,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Phyllodocidae","Phyllodoce","Phyllodoce mucosa",334512,1,1995,,TRUE,FALSE,
"Annelida","Polychaeta","Phyllodocida","Pilargidae","Ancistrosyllis","Ancistrosyllis carolinensis",157167,1,2000,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Pilargidae","Pilargis","Pilargis berkeleyae",334520,2,2000,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Polynoidae","Harmothoe","Harmothoe imbricata",130769,2,2003,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Polynoidae","Lepidonotus","Lepidonotus variabilis",328822,3,1994,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Polynoidae","Malmgreniella","Malmgreniella maccraryae",329205,7,2000,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Sigalionidae","Fimbriosthenelais","Fimbriosthenelais hobbsi",338345,2,1996,,TRUE,FALSE,
"Annelida","Polychaeta","Phyllodocida","Sigalionidae","Fimbriosthenelais","Fimbriosthenelais minor",131065,12,2001,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Sigalionidae","Pholoe","Pholoe minuta",130603,7,2004,,TRUE,FALSE,
"Annelida","Polychaeta","Phyllodocida","Sigalionidae","Sthenelais","Sthenelais boa",131074,1,1995,,TRUE,FALSE,
"Annelida","Polychaeta","Phyllodocida","Sigalionidae","Sthenolepis","Sthenolepis grubei",334870,1,1997,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Sigalionidae","Taylorpholoe","Taylorpholoe hirsuta",334900,26,2000,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Syllidae","Branchiosyllis","Branchiosyllis exilis",131279,4,2004,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Syllidae","Branchiosyllis","Branchiosyllis oculata",231877,3,2004,,TRUE,FALSE,
"Annelida","Polychaeta","Phyllodocida","Syllidae","Brania","Brania rugulosa",333157,18,2000,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Syllidae","Dentatisyllis","Dentatisyllis carolinae",157337,1,2004,,TRUE,FALSE,
"Annelida","Polychaeta","Phyllodocida","Syllidae","Exogone","Exogone (Exogone) lourei",238226,23,2004,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Syllidae","Exogone","Exogone atlantica",327967,1,1996,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Syllidae","Exogone","Exogone dispar",333453,25,2000,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Syllidae","Exogone","Exogone rolani",760592,47,2000,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Syllidae","Haplosyllis","Haplosyllis spongicola",131321,6,2004,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Syllidae","Odontosyllis","Odontosyllis enopla",330066,3,2000,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Syllidae","Opisthosyllis","Opisthosyllis longidentata",330232,1,2000,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Syllidae","Paraehlersia","Paraehlersia ferrugina",195972,3,2004,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Syllidae","Parapionosyllis","Parapionosyllis uebelackerae",330372,2,1996,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Syllidae","Salvatoria","Salvatoria clavata",195986,2,1995,,TRUE,FALSE,
"Annelida","Polychaeta","Phyllodocida","Syllidae","Sphaerosyllis","Sphaerosyllis aciculata",331997,4,2000,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Syllidae","Sphaerosyllis","Sphaerosyllis glandulata",131386,1,2000,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Syllidae","Sphaerosyllis","Sphaerosyllis piriferopsis",131393,12,2004,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Syllidae","Sphaerosyllis","Sphaerosyllis taylori",131394,9,2003,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Syllidae","Streptosyllis","Streptosyllis websteri",131402,1,1997,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Syllidae","Syllides","Syllides bansei",131404,5,2001,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Syllidae","Syllides","Syllides fulvus",131409,1,2000,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Syllidae","Syllis","Syllis armillaris",131415,1,2000,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Syllidae","Syllis","Syllis beneliahuae",195997,3,2000,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Syllidae","Syllis","Syllis broomensis",816639,49,2000,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Syllidae","Syllis","Syllis cornuta",157583,40,2004,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Syllidae","Syllis","Syllis lutea",131442,9,2004,,TRUE,TRUE,
"Annelida","Polychaeta","Phyllodocida","Syllidae","Syllis","Syllis variegata",131458,1,2000,,TRUE,TRUE,
"Annelida","Polychaeta","Sabellida","Fabriciidae","Augeneriella","Augeneriella hummelincki",327022,2,1994,,TRUE,TRUE,
"Annelida","Polychaeta","Sabellida","Fabriciidae","Fabricia","Fabricia stellaris",130913,1,1973,,TRUE,TRUE,
"Annelida","Polychaeta","Sabellida","Fabriciidae","Fabricinuda","Fabricinuda trilobata",559006,90,2004,,TRUE,TRUE,
"Annelida","Polychaeta","Sabellida","Sabellidae","Acromegalomma","Acromegalomma bioculatum",994105,1,2001,,TRUE,FALSE,
"Annelida","Polychaeta","Sabellida","Sabellidae","Acromegalomma","Acromegalomma pigmentum",994130,5,1997,,TRUE,TRUE,
"Annelida","Polychaeta","Sabellida","Sabellidae","Bispira","Bispira melanostigma",333110,2,1994,,TRUE,FALSE,
"Annelida","Polychaeta","Sabellida","Sabellidae","Branchiomma","Branchiomma nigromaculatum",209930,6,2004,,TRUE,TRUE,
"Annelida","Polychaeta","Sabellida","Sabellidae","Paradialychone","Paradialychone americana",558737,3,1994,,TRUE,TRUE,
"Annelida","Polychaeta","Sabellida","Sabellidae","Parasabella","Parasabella microphthalma",530927,5,2000,,TRUE,TRUE,
"Annelida","Polychaeta","Sabellida","Serpulidae","Hydroides","Hydroides dianthus",131000,1,2000,,TRUE,TRUE,
"Annelida","Polychaeta","Spionida","Poecilochaetidae","Poecilochaetus","Poecilochaetus johnsoni",330841,1,1994,,TRUE,FALSE,
"Annelida","Polychaeta","Spionida","Spionidae","Aonidella","Aonidella cirrobranchiata",562800,3,1994,,TRUE,FALSE,
"Annelida","Polychaeta","Spionida","Spionidae","Aonides","Aonides paucibranchiata",131107,1,2000,,TRUE,TRUE,
"Annelida","Polychaeta","Spionida","Spionidae","Apoprionospio","Apoprionospio pygmaea",131108,6,1996,,TRUE,FALSE,
"Annelida","Polychaeta","Spionida","Spionidae","Carazziella","Carazziella hobsonae",327357,1,1996,,TRUE,FALSE,
"Annelida","Polychaeta","Spionida","Spionidae","Dipolydora","Dipolydora socialis",131124,12,2004,,TRUE,TRUE,
"Annelida","Polychaeta","Spionida","Spionidae","Laonice","Laonice cirrata",131128,1,2001,,TRUE,FALSE,
"Annelida","Polychaeta","Spionida","Spionidae","Paraprionospio","Paraprionospio pinnata",131140,3,1995,,TRUE,FALSE,
"Annelida","Polychaeta","Spionida","Spionidae","Polydora","Polydora cornuta",131143,2,1997,,TRUE,TRUE,
"Annelida","Polychaeta","Spionida","Spionidae","Prionospio","Prionospio cirrifera",131153,4,1995,,TRUE,FALSE,
"Annelida","Polychaeta","Spionida","Spionidae","Prionospio","Prionospio cristata",157542,6,2000,,TRUE,TRUE,
"Annelida","Polychaeta","Spionida","Spionidae","Prionospio","Prionospio heterobranchia",157543,23,2004,,TRUE,TRUE,
"Annelida","Polychaeta","Spionida","Spionidae","Prionospio","Prionospio steenstrupi",131164,6,2000,,TRUE,TRUE,
"Annelida","Polychaeta","Spionida","Spionidae","Scolelepis","Scolelepis (Parascolelepis) texana",334740,3,1995,,TRUE,TRUE,
"Annelida","Polychaeta","Spionida","Spionidae","Spio","Spio pettiboneae",157572,12,2000,,TRUE,TRUE,
"Annelida","Polychaeta","Spionida","Spionidae","Streblospio","Streblospio benedicti",131191,2,2001,,TRUE,TRUE,
"Annelida","Polychaeta","Terebellida","Acrocirridae","Macrochaeta","Macrochaeta clavicornis",129745,1,1994,,TRUE,FALSE,
"Annelida","Polychaeta","Terebellida","Ampharetidae","Hobsonia","Hobsonia florida",333624,1,1996,,TRUE,TRUE,
"Annelida","Polychaeta","Terebellida","Cirratulidae","Caulleriella","Caulleriella alata",129943,6,2004,,TRUE,TRUE,
"Annelida","Polychaeta","Terebellida","Cirratulidae","Cirriformia","Cirriformia grandis",1461354,1,2004,,TRUE,FALSE,
"Annelida","Polychaeta","Terebellida","Cirratulidae","Kirkegaardia","Kirkegaardia dorsobranchialis",884702,39,2004,,TRUE,TRUE,
"Annelida","Polychaeta","Terebellida","Cirratulidae","Tharyx","Tharyx acutus",155243,4,2001,,TRUE,TRUE,
